From,Entry,Reviewed,Entry Name,Protein names,Gene Names,Organism,Length,GeneName
Q9C0E8,Q9C0E8,reviewed,LNP_HUMAN,Endoplasmic reticulum junction formation protein lunapark (ER junction formation factor lunapark),LNPK KIAA1715 LNP,Homo sapiens (Human),428,LNPK
Q9NP58,Q9NP58,reviewed,ABCB6_HUMAN,ATP-binding cassette sub-family B member 6 (ABC-type heme transporter ABCB6) (EC 7.6.2.5) (Mitochondrial ABC transporter 3) (Mt-ABC transporter 3) (P-glycoprotein-related protein) (Ubiquitously-expressed mammalian ABC half transporter),ABCB6 MTABC3 PRP UMAT,Homo sapiens (Human),842,ABCB6
P54920,P54920,reviewed,SNAA_HUMAN,Alpha-soluble NSF attachment protein (SNAP-alpha) (N-ethylmaleimide-sensitive factor attachment protein alpha),NAPA SNAPA,Homo sapiens (Human),295,NAPA
Q9NUJ1,Q9NUJ1,reviewed,ABHDA_HUMAN,"Palmitoyl-protein thioesterase ABHD10, mitochondrial (EC 3.1.2.22) (Acyl-protein thioesterase ABHD10) (Alpha/beta hydrolase domain-containing protein 10) (Abhydrolase domain-containing protein 10) (Mycophenolic acid acyl-glucuronide esterase, mitochondrial) (EC 3.1.1.93)",ABHD10,Homo sapiens (Human),306,ABHD10
Q15466,Q15466,reviewed,NR0B2_HUMAN,Nuclear receptor subfamily 0 group B member 2 (Orphan nuclear receptor SHP) (Small heterodimer partner),NR0B2 SHP,Homo sapiens (Human),257,NR0B2
P20160,P20160,reviewed,CAP7_HUMAN,Azurocidin (Cationic antimicrobial protein CAP37) (Heparin-binding protein) (HBP) (hHBP),AZU1,Homo sapiens (Human),251,AZU1
O00533,O00533,reviewed,NCHL1_HUMAN,Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein],CHL1 CALL,Homo sapiens (Human),1208,CHL1
P18206,P18206,reviewed,VINC_HUMAN,Vinculin (Metavinculin) (MV),VCL,Homo sapiens (Human),1134,VCL
P30101,P30101,reviewed,PDIA3_HUMAN,Protein disulfide-isomerase A3 (EC 5.3.4.1) (58 kDa glucose-regulated protein) (58 kDa microsomal protein) (p58) (Disulfide isomerase ER-60) (Endoplasmic reticulum resident protein 57) (ER protein 57) (ERp57) (Endoplasmic reticulum resident protein 60) (ER protein 60) (ERp60),PDIA3 ERP57 ERP60 GRP58,Homo sapiens (Human),505,PDIA3
P49247,P49247,reviewed,RPIA_HUMAN,Ribose-5-phosphate isomerase (EC 5.3.1.6) (Phosphoriboisomerase),RPIA RPI,Homo sapiens (Human),311,RPIA
P14927,P14927,reviewed,QCR7_HUMAN,Cytochrome b-c1 complex subunit 7 (Complex III subunit 7) (Complex III subunit VII) (QP-C) (Ubiquinol-cytochrome c reductase complex 14 kDa protein),UQCRB UQBP,Homo sapiens (Human),111,UQCRB
Q5D862,Q5D862,reviewed,FILA2_HUMAN,Filaggrin-2 (FLG-2) (Intermediate filament-associated and psoriasis-susceptibility protein) (Ifapsoriasin),FLG2 IFPS,Homo sapiens (Human),2391,FLG2
Q14520,Q14520,reviewed,HABP2_HUMAN,Factor VII-activating protease (FSAP) (EC 3.4.21.-) (FVII activator) (Hepatocyte growth factor activator-like protein) (Hyaluronan-binding protein 2) (Plasma hyaluronan-binding protein) (PHBP) (Plasma hyaluronan-binding serine protease) (PHBSP) [Cleaved into: Factor VII-activating protease 50 kDa N-terminal heavy chain; Factor VII-activating protease 50 kDa N-terminal heavy chain alternate form; Factor VII-activating protease 27 kDa C-terminal light chain; Factor VII-activating protease 27 kDa C-terminal light chain alternate form],HABP2 HGFAL,Homo sapiens (Human),560,HABP2
Q99941,Q99941,reviewed,ATF6B_HUMAN,Cyclic AMP-dependent transcription factor ATF-6 beta (cAMP-dependent transcription factor ATF-6 beta) (Activating transcription factor 6 beta) (ATF6-beta) (Protein G13) (cAMP response element-binding protein-related protein) (Creb-rp) (cAMP-responsive element-binding protein-like 1) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 beta],ATF6B CREBL1 G13,Homo sapiens (Human),703,ATF6B
Q8N556,Q8N556,reviewed,AFAP1_HUMAN,Actin filament-associated protein 1 (110 kDa actin filament-associated protein) (AFAP-110),AFAP1 AFAP,Homo sapiens (Human),730,AFAP1
Q9Y3P9,Q9Y3P9,reviewed,RBGP1_HUMAN,Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA),RABGAP1 HSPC094,Homo sapiens (Human),1069,RABGAP1
P51572,P51572,reviewed,BAP31_HUMAN,B-cell receptor-associated protein 31 (BCR-associated protein 31) (Bap31) (6C6-AG tumor-associated antigen) (Protein CDM) (p28),BCAP31 BAP31 DXS1357E,Homo sapiens (Human),246,BCAP31
Q9UL25,Q9UL25,reviewed,RAB21_HUMAN,Ras-related protein Rab-21 (EC 3.6.5.2),RAB21 KIAA0118,Homo sapiens (Human),225,RAB21
Q13283,Q13283,reviewed,G3BP1_HUMAN,Ras GTPase-activating protein-binding protein 1 (G3BP-1) (EC 3.6.4.12) (EC 3.6.4.13) (ATP-dependent DNA helicase VIII) (hDH VIII) (GAP SH3 domain-binding protein 1),G3BP1 G3BP,Homo sapiens (Human),466,G3BP1
Q13361,Q13361,reviewed,MFAP5_HUMAN,Microfibrillar-associated protein 5 (MFAP-5) (MP25) (Microfibril-associated glycoprotein 2) (MAGP-2),MFAP5 MAGP2,Homo sapiens (Human),173,MFAP5
Q16698,Q16698,reviewed,DECR_HUMAN,"2,4-dienoyl-CoA reductase [(3E)-enoyl-CoA-producing], mitochondrial (EC 1.3.1.124) (2,4-dienoyl-CoA reductase [NADPH]) (4-enoyl-CoA reductase [NADPH]) (Short chain dehydrogenase/reductase family 18C member 1)",DECR1 DECR SDR18C1,Homo sapiens (Human),335,DECR1
O00139,O00139,reviewed,KIF2A_HUMAN,Kinesin-like protein KIF2A (Kinesin-2) (hK2),KIF2A KIF2 KNS2,Homo sapiens (Human),706,KIF2A
Q02817,Q02817,reviewed,MUC2_HUMAN,Mucin-2 (MUC-2) (Intestinal mucin-2),MUC2 SMUC,Homo sapiens (Human),5289,MUC2
Q9UMY4,Q9UMY4,reviewed,SNX12_HUMAN,Sorting nexin-12,SNX12,Homo sapiens (Human),162,SNX12
P61313,P61313,reviewed,RL15_HUMAN,Large ribosomal subunit protein eL15 (60S ribosomal protein L15),RPL15 EC45 TCBAP0781,Homo sapiens (Human),204,RPL15
P0C7M6,P0C7M6,reviewed,IQCF3_HUMAN,IQ domain-containing protein F3,IQCF3,Homo sapiens (Human),154,IQCF3
P62310,P62310,reviewed,LSM3_HUMAN,U6 snRNA-associated Sm-like protein LSm3,LSM3 MDS017,Homo sapiens (Human),102,LSM3
Q00610,Q00610,reviewed,CLH1_HUMAN,Clathrin heavy chain 1 (Clathrin heavy chain on chromosome 17) (CLH-17),CLTC CLH17 CLTCL2 KIAA0034,Homo sapiens (Human),1675,CLTC
P51692,P51692,reviewed,STA5B_HUMAN,Signal transducer and activator of transcription 5B,STAT5B,Homo sapiens (Human),787,STAT5B
Q5TAX3,Q5TAX3,reviewed,TUT4_HUMAN,Terminal uridylyltransferase 4 (TUTase 4) (EC 2.7.7.52) (Zinc finger CCHC domain-containing protein 11),TUT4 KIAA0191 ZCCHC11,Homo sapiens (Human),1644,TUT4
Q96DA2,Q96DA2,reviewed,RB39B_HUMAN,Ras-related protein Rab-39B (EC 3.6.5.2),RAB39B,Homo sapiens (Human),213,RAB39B
P60953,P60953,reviewed,CDC42_HUMAN,Cell division control protein 42 homolog (EC 3.6.5.2) (G25K GTP-binding protein),CDC42,Homo sapiens (Human),191,CDC42
P19823,P19823,reviewed,ITIH2_HUMAN,Inter-alpha-trypsin inhibitor heavy chain H2 (ITI heavy chain H2) (ITI-HC2) (Inter-alpha-inhibitor heavy chain 2) (Inter-alpha-trypsin inhibitor complex component II) (Serum-derived hyaluronan-associated protein) (SHAP),ITIH2 IGHEP2,Homo sapiens (Human),946,ITIH2
Q8WUY3,Q8WUY3,reviewed,PRUN2_HUMAN,Protein prune homolog 2 (BNIP2 motif-containing molecule at the C-terminal region 1),PRUNE2 BMCC1 BNIPXL C9orf65 KIAA0367,Homo sapiens (Human),3088,PRUNE2
O95954,O95954,reviewed,FTCD_HUMAN,Formimidoyltransferase-cyclodeaminase (Formiminotransferase-cyclodeaminase) (FTCD) (LCHC1) [Includes: Glutamate formimidoyltransferase (EC 2.1.2.5) (Glutamate formiminotransferase) (Glutamate formyltransferase); Formimidoyltetrahydrofolate cyclodeaminase (EC 4.3.1.4) (Formiminotetrahydrofolate cyclodeaminase)],FTCD,Homo sapiens (Human),541,FTCD
Q9UDT6,Q9UDT6,reviewed,CLIP2_HUMAN,CAP-Gly domain-containing linker protein 2 (Cytoplasmic linker protein 115) (CLIP-115) (Cytoplasmic linker protein 2) (Williams-Beuren syndrome chromosomal region 3 protein) (Williams-Beuren syndrome chromosomal region 4 protein),CLIP2 CYLN2 KIAA0291 WBSCR3 WBSCR4 WSCR4,Homo sapiens (Human),1046,CLIP2
Q13418,Q13418,reviewed,ILK_HUMAN,Scaffold protein ILK (ILK-1) (ILK-2) (Inactive integrin-linked kinase) (p59ILK),ILK ILK1 ILK2,Homo sapiens (Human),452,ILK
Q9H8Y8,Q9H8Y8,reviewed,GORS2_HUMAN,Golgi reassembly-stacking protein 2 (GRS2) (Golgi phosphoprotein 6) (GOLPH6) (Golgi reassembly-stacking protein of 55 kDa) (GRASP55) (p59),GORASP2 GOLPH6,Homo sapiens (Human),452,GORASP2
Q13555,Q13555,reviewed,KCC2G_HUMAN,Calcium/calmodulin-dependent protein kinase type II subunit gamma (CaM kinase II subunit gamma) (CaMK-II subunit gamma) (EC 2.7.11.17),CAMK2G CAMK CAMK-II CAMKG,Homo sapiens (Human),558,CAMK2G
Q5JPE7,Q5JPE7,reviewed,NOMO2_HUMAN,BOS complex subunit NOMO2 (Nodal modulator 2) (pM5 protein 2),NOMO2,Homo sapiens (Human),1267,NOMO2
P06748,P06748,reviewed,NPM_HUMAN,Nucleophosmin (NPM) (Nucleolar phosphoprotein B23) (Nucleolar protein NO38) (Numatrin),NPM1 NPM,Homo sapiens (Human),294,NPM1
P80511,P80511,reviewed,S10AC_HUMAN,Protein S100-A12 (CGRP) (Calcium-binding protein in amniotic fluid 1) (CAAF1) (Calgranulin-C) (CAGC) (Extracellular newly identified RAGE-binding protein) (EN-RAGE) (Migration inhibitory factor-related protein 6) (MRP-6) (p6) (Neutrophil S100 protein) (S100 calcium-binding protein A12) [Cleaved into: Calcitermin],S100A12,Homo sapiens (Human),92,S100A12
O75083,O75083,reviewed,WDR1_HUMAN,WD repeat-containing protein 1 (Actin-interacting protein 1) (AIP1) (NORI-1),WDR1,Homo sapiens (Human),606,WDR1
Q13939,Q13939,reviewed,CALI_HUMAN,Calicin,CCIN,Homo sapiens (Human),588,CCIN
P62491,P62491,reviewed,RB11A_HUMAN,Ras-related protein Rab-11A (Rab-11) (EC 3.6.5.2) (YL8),RAB11A RAB11,Homo sapiens (Human),216,RAB11A
O75368,O75368,reviewed,SH3L1_HUMAN,Adapter SH3BGRL (SH3 domain-binding glutamic acid-rich-like protein 1),SH3BGRL,Homo sapiens (Human),114,SH3BGRL
Q92619,Q92619,reviewed,HMHA1_HUMAN,Rho GTPase-activating protein 45 [Cleaved into: Minor histocompatibility antigen HA-1 (mHag HA-1)],ARHGAP45 HMHA1 KIAA0223,Homo sapiens (Human),1136,ARHGAP45
O60763,O60763,reviewed,USO1_HUMAN,General vesicular transport factor p115 (Protein USO1 homolog) (Transcytosis-associated protein) (TAP) (Vesicle-docking protein),USO1 VDP,Homo sapiens (Human),962,USO1
Q14315,Q14315,reviewed,FLNC_HUMAN,Filamin-C (FLN-C) (FLNc) (ABP-280-like protein) (ABP-L) (Actin-binding-like protein) (Filamin-2) (Gamma-filamin),FLNC ABPL FLN2,Homo sapiens (Human),2725,FLNC
P78333,P78333,reviewed,GPC5_HUMAN,Glypican-5 [Cleaved into: Secreted glypican-5],GPC5,Homo sapiens (Human),572,GPC5
P01877,P01877,reviewed,IGHA2_HUMAN,Immunoglobulin heavy constant alpha 2 (Ig alpha-2 chain C region) (Ig alpha-2 chain C region BUT) (Ig alpha-2 chain C region LAN),IGHA2,Homo sapiens (Human),391,IGHA2
Q92520,Q92520,reviewed,FAM3C_HUMAN,Protein FAM3C (Interleukin-like EMT inducer),FAM3C ILEI GS3786,Homo sapiens (Human),227,FAM3C
O75164,O75164,reviewed,KDM4A_HUMAN,Lysine-specific demethylase 4A (EC 1.14.11.66) (EC 1.14.11.69) (JmjC domain-containing histone demethylation protein 3A) (Jumonji domain-containing protein 2A) ([histone H3]-trimethyl-L-lysine(36) demethylase 4A) ([histone H3]-trimethyl-L-lysine(9) demethylase 4A),KDM4A JHDM3A JMJD2 JMJD2A KIAA0677,Homo sapiens (Human),1064,KDM4A
Q9H8L6,Q9H8L6,reviewed,MMRN2_HUMAN,Multimerin-2 (EMILIN-3) (Elastin microfibril interface located protein 3) (Elastin microfibril interfacer 3) (EndoGlyx-1 p125/p140 subunit),MMRN2 EMILIN3,Homo sapiens (Human),949,MMRN2
Q6UWY5,Q6UWY5,reviewed,OLFL1_HUMAN,Olfactomedin-like protein 1,OLFML1 UNQ564/PRO1126,Homo sapiens (Human),402,OLFML1
Q9UHL4,Q9UHL4,reviewed,DPP2_HUMAN,Dipeptidyl peptidase 2 (EC 3.4.14.2) (Dipeptidyl aminopeptidase II) (Dipeptidyl peptidase 7) (Dipeptidyl peptidase II) (DPP II) (Quiescent cell proline dipeptidase),DPP7 DPP2 QPP,Homo sapiens (Human),492,DPP7
Q13011,Q13011,reviewed,ECH1_HUMAN,"Delta(3,5)-Delta(2,4)-dienoyl-CoA isomerase, mitochondrial (EC 5.3.3.-)",ECH1,Homo sapiens (Human),328,ECH1
O75636,O75636,reviewed,FCN3_HUMAN,Ficolin-3 (Collagen/fibrinogen domain-containing lectin 3 p35) (Collagen/fibrinogen domain-containing protein 3) (Hakata antigen),FCN3 FCNH HAKA1,Homo sapiens (Human),299,FCN3
P62249,P62249,reviewed,RS16_HUMAN,Small ribosomal subunit protein uS9 (40S ribosomal protein S16),RPS16,Homo sapiens (Human),146,RPS16
P23396,P23396,reviewed,RS3_HUMAN,Small ribosomal subunit protein uS3 (40S ribosomal protein S3) (EC 4.2.99.18),RPS3 OK/SW-cl.26,Homo sapiens (Human),243,RPS3
P07359,P07359,reviewed,GP1BA_HUMAN,Platelet glycoprotein Ib alpha chain (GP-Ib alpha) (GPIb-alpha) (GPIbA) (Glycoprotein Ibalpha) (Antigen CD42b-alpha) (CD antigen CD42b) [Cleaved into: Glycocalicin],GP1BA,Homo sapiens (Human),652,GP1BA
P18850,P18850,reviewed,ATF6A_HUMAN,Cyclic AMP-dependent transcription factor ATF-6 alpha (cAMP-dependent transcription factor ATF-6 alpha) (Activating transcription factor 6 alpha) (ATF6-alpha) [Cleaved into: Processed cyclic AMP-dependent transcription factor ATF-6 alpha],ATF6,Homo sapiens (Human),670,ATF6
P17927,P17927,reviewed,CR1_HUMAN,Complement receptor type 1 (C3b/C4b receptor) (CD antigen CD35),CR1 C3BR,Homo sapiens (Human),2039,CR1
P61006,P61006,reviewed,RAB8A_HUMAN,Ras-related protein Rab-8A (EC 3.6.5.2) (Oncogene c-mel),RAB8A MEL RAB8,Homo sapiens (Human),207,RAB8A
Q9Y6F6,Q9Y6F6,reviewed,IRAG1_HUMAN,"Inositol 1,4,5-triphosphate receptor associated 1 (Inositol 1,4,5-trisphosphate receptor-associated cGMP kinase substrate) (JAW1-related protein MRVI1) (Protein MRVI1)",IRAG1 IRAG JAW1L MRVI1,Homo sapiens (Human),904,IRAG1
P63279,P63279,reviewed,UBC9_HUMAN,SUMO-conjugating enzyme UBC9 (EC 2.3.2.-) (RING-type E3 SUMO transferase UBC9) (SUMO-protein ligase) (Ubiquitin carrier protein 9) (Ubiquitin carrier protein I) (Ubiquitin-conjugating enzyme E2 I) (Ubiquitin-protein ligase I) (p18),UBE2I UBC9 UBCE9,Homo sapiens (Human),158,UBE2I
P02652,P02652,reviewed,APOA2_HUMAN,Apolipoprotein A-II (Apo-AII) (ApoA-II) (Apolipoprotein A2) [Cleaved into: Proapolipoprotein A-II (ProapoA-II); Truncated apolipoprotein A-II (Apolipoprotein A-II(1-76))],APOA2,Homo sapiens (Human),100,APOA2
Q03591,Q03591,reviewed,FHR1_HUMAN,Complement factor H-related protein 1 (FHR-1) (H factor-like protein 1) (FHL-1) (H-factor-like 1) (H36),CFHR1 CFHL CFHL1 CFHL1P CFHR1P FHR1 HFL1 HFL2,Homo sapiens (Human),330,CFHR1
O43815,O43815,reviewed,STRN_HUMAN,Striatin,STRN,Homo sapiens (Human),780,STRN
P48735,P48735,reviewed,IDHP_HUMAN,"Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (ICD-M) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)",IDH2,Homo sapiens (Human),452,IDH2
Q7Z6I6,Q7Z6I6,reviewed,RHG30_HUMAN,Rho GTPase-activating protein 30 (Rho-type GTPase-activating protein 30),ARHGAP30,Homo sapiens (Human),1101,ARHGAP30
P02461,P02461,reviewed,CO3A1_HUMAN,Collagen alpha-1(III) chain,COL3A1,Homo sapiens (Human),1466,COL3A1
A0A0C4DH90,A0A0C4DH90,unreviewed,A0A0C4DH90_HUMAN,Immunoglobulin kappa variable 3/OR2-268 (non-functional),IGKV3OR2-268,Homo sapiens (Human),116,IGKV3OR2-268
Q96JP9,Q96JP9,reviewed,CDHR1_HUMAN,Cadherin-related family member 1 (Photoreceptor cadherin) (prCAD) (Protocadherin-21),CDHR1 KIAA1775 PCDH21 PRCAD,Homo sapiens (Human),859,CDHR1
P46019,P46019,reviewed,KPB2_HUMAN,"Phosphorylase b kinase regulatory subunit alpha, liver isoform (Phosphorylase kinase alpha L subunit)",PHKA2 PHKLA PYK,Homo sapiens (Human),1235,PHKA2
Q86UN3,Q86UN3,reviewed,R4RL2_HUMAN,Reticulon-4 receptor-like 2 (Nogo receptor-like 3) (Nogo-66 receptor homolog 1) (Nogo-66 receptor-related protein 2) (NgR2),RTN4RL2 NGRH1 NGRL3,Homo sapiens (Human),420,RTN4RL2
Q9NYL9,Q9NYL9,reviewed,TMOD3_HUMAN,Tropomodulin-3 (Ubiquitous tropomodulin) (U-Tmod),TMOD3,Homo sapiens (Human),352,TMOD3
P46776,P46776,reviewed,RL27A_HUMAN,Large ribosomal subunit protein uL15 (60S ribosomal protein L27a),RPL27A,Homo sapiens (Human),148,RPL27A
A0A0A0MT36,A0A0A0MT36,reviewed,KVD21_HUMAN,Immunoglobulin kappa variable 6D-21,IGKV6D-21,Homo sapiens (Human),114,IGKV6D-21
P11233,P11233,reviewed,RALA_HUMAN,Ras-related protein Ral-A (EC 3.6.5.2),RALA RAL,Homo sapiens (Human),206,RALA
P07237,P07237,reviewed,PDIA1_HUMAN,Protein disulfide-isomerase (PDI) (EC 5.3.4.1) (Cellular thyroid hormone-binding protein) (Prolyl 4-hydroxylase subunit beta) (p55),P4HB ERBA2L PDI PDIA1 PO4DB,Homo sapiens (Human),508,P4HB
P56134,P56134,reviewed,ATPK_HUMAN,"ATP synthase F(0) complex subunit f, mitochondrial (ATP synthase membrane subunit f)",ATP5MF ATP5J2 ATP5JL,Homo sapiens (Human),94,ATP5MF
P26885,P26885,reviewed,FKBP2_HUMAN,Peptidyl-prolyl cis-trans isomerase FKBP2 (PPIase FKBP2) (EC 5.2.1.8) (13 kDa FK506-binding protein) (13 kDa FKBP) (FKBP-13) (FK506-binding protein 2) (FKBP-2) (Immunophilin FKBP13) (Rotamase),FKBP2 FKBP13,Homo sapiens (Human),142,FKBP2
P12268,P12268,reviewed,IMDH2_HUMAN,Inosine-5'-monophosphate dehydrogenase 2 (IMP dehydrogenase 2) (IMPD 2) (IMPDH 2) (EC 1.1.1.205) (Inosine-5'-monophosphate dehydrogenase type II) (IMP dehydrogenase II) (IMPDH-II),IMPDH2 IMPD2,Homo sapiens (Human),514,IMPDH2
O60244,O60244,reviewed,MED14_HUMAN,Mediator of RNA polymerase II transcription subunit 14 (Activator-recruited cofactor 150 kDa component) (ARC150) (Cofactor required for Sp1 transcriptional activation subunit 2) (CRSP complex subunit 2) (Mediator complex subunit 14) (RGR1 homolog) (hRGR1) (Thyroid hormone receptor-associated protein complex 170 kDa component) (Trap170) (Transcriptional coactivator CRSP150) (Vitamin D3 receptor-interacting protein complex 150 kDa component) (DRIP150),MED14 ARC150 CRSP2 CXorf4 DRIP150 EXLM1 RGR1 TRAP170,Homo sapiens (Human),1454,MED14
Q8WWA0,Q8WWA0,reviewed,ITLN1_HUMAN,Intelectin-1 (ITLN-1) (Endothelial lectin HL-1) (Galactofuranose-binding lectin) (Intestinal lactoferrin receptor) (Omentin),ITLN1 INTL ITLN LFR UNQ640/PRO1270,Homo sapiens (Human),313,ITLN1
Q99674,Q99674,reviewed,CGRE1_HUMAN,Cell growth regulator with EF hand domain protein 1 (Cell growth regulatory gene 11 protein) (Hydrophobestin),CGREF1 CGR11,Homo sapiens (Human),318,CGREF1
Q6UXH9,Q6UXH9,reviewed,PAMR1_HUMAN,Inactive serine protease PAMR1 (Peptidase domain-containing protein associated with muscle regeneration 1) (Regeneration-associated muscle protease homolog),PAMR1 RAMP FP938 UNQ699/PRO1344,Homo sapiens (Human),720,PAMR1
O95271,O95271,reviewed,TNKS1_HUMAN,Poly [ADP-ribose] polymerase tankyrase-1 (EC 2.4.2.30) (ADP-ribosyltransferase diphtheria toxin-like 5) (ARTD5) (Poly [ADP-ribose] polymerase 5A) (Protein poly-ADP-ribosyltransferase tankyrase-1) (EC 2.4.2.-) (TNKS-1) (TRF1-interacting ankyrin-related ADP-ribose polymerase) (Tankyrase I) (Tankyrase-1) (TANK1),TNKS PARP5A PARPL TIN1 TINF1 TNKS1,Homo sapiens (Human),1327,TNKS
P49841,P49841,reviewed,GSK3B_HUMAN,Glycogen synthase kinase-3 beta (GSK-3 beta) (EC 2.7.11.26) (Serine/threonine-protein kinase GSK3B) (EC 2.7.11.1),GSK3B,Homo sapiens (Human),420,GSK3B
Q8IZA0,Q8IZA0,reviewed,K319L_HUMAN,Dyslexia-associated protein KIAA0319-like protein (Adeno-associated virus receptor) (AAVR),KIAA0319L AAVR KIAA1837 PP791,Homo sapiens (Human),1049,KIAA0319L
Q9UBG0,Q9UBG0,reviewed,MRC2_HUMAN,C-type mannose receptor 2 (C-type lectin domain family 13 member E) (Endocytic receptor 180) (Macrophage mannose receptor 2) (Urokinase-type plasminogen activator receptor-associated protein) (UPAR-associated protein) (Urokinase receptor-associated protein) (CD antigen CD280),MRC2 CLEC13E ENDO180 KIAA0709 UPARAP,Homo sapiens (Human),1479,MRC2
Q9Y490,Q9Y490,reviewed,TLN1_HUMAN,Talin-1,TLN1 KIAA1027 TLN,Homo sapiens (Human),2541,TLN1
Q9UEU0,Q9UEU0,reviewed,VTI1B_HUMAN,Vesicle transport through interaction with t-SNAREs homolog 1B (Vesicle transport v-SNARE protein Vti1-like 1) (Vti1-rp1),VTI1B VTI1 VTI1L VTI1L1 VTI2,Homo sapiens (Human),232,VTI1B
P47755,P47755,reviewed,CAZA2_HUMAN,F-actin-capping protein subunit alpha-2 (CapZ alpha-2),CAPZA2,Homo sapiens (Human),286,CAPZA2
Q5JSH3,Q5JSH3,reviewed,WDR44_HUMAN,WD repeat-containing protein 44 (Rab11-binding protein) (Rab11BP) (Rabphilin-11),WDR44 RPH11,Homo sapiens (Human),913,WDR44
Q07021,Q07021,reviewed,C1QBP_HUMAN,"Complement component 1 Q subcomponent-binding protein, mitochondrial (ASF/SF2-associated protein p32) (Glycoprotein gC1qBP) (C1qBP) (Hyaluronan-binding protein 1) (Mitochondrial matrix protein p32) (gC1q-R protein) (p33) (SF2AP32)",C1QBP GC1QBP HABP1 SF2P32,Homo sapiens (Human),282,C1QBP
Q9Y4G6,Q9Y4G6,reviewed,TLN2_HUMAN,Talin-2,TLN2 KIAA0320,Homo sapiens (Human),2542,TLN2
Q13421,Q13421,reviewed,MSLN_HUMAN,"Mesothelin (CAK1 antigen) (Pre-pro-megakaryocyte-potentiating factor) [Cleaved into: Megakaryocyte-potentiating factor (MPF); Mesothelin, cleaved form]",MSLN MPF,Homo sapiens (Human),630,MSLN
Q8IZQ8,Q8IZQ8,reviewed,MYCD_HUMAN,Myocardin,MYOCD MYCD,Homo sapiens (Human),938,MYOCD
Q9UHD8,Q9UHD8,reviewed,SEPT9_HUMAN,Septin-9 (MLL septin-like fusion protein MSF-A) (MLL septin-like fusion protein) (Ovarian/Breast septin) (Ov/Br septin) (Septin D1),SEPTIN9 KIAA0991 MSF SEPT9,Homo sapiens (Human),586,SEPTIN9
O95202,O95202,reviewed,LETM1_HUMAN,Mitochondrial proton/calcium exchanger protein (Electroneutral mitochondrial K(+)/H(+)exchanger) (KHE) (Leucine zipper-EF-hand-containing transmembrane protein 1),LETM1,Homo sapiens (Human),739,LETM1
P08195,P08195,reviewed,4F2_HUMAN,Amino acid transporter heavy chain SLC3A2 (4F2 cell-surface antigen heavy chain) (4F2hc) (4F2 heavy chain antigen) (Lymphocyte activation antigen 4F2 large subunit) (Solute carrier family 3 member 2) (CD antigen CD98),SLC3A2 MDU1,Homo sapiens (Human),630,SLC3A2
Q9BQB6,Q9BQB6,reviewed,VKOR1_HUMAN,"Vitamin K epoxide reductase complex subunit 1 (EC 1.17.4.4) (Vitamin K1 2,3-epoxide reductase subunit 1)",VKORC1 VKOR MSTP134 MSTP576 UNQ308/PRO351,Homo sapiens (Human),163,VKORC1
Q8TDB6,Q8TDB6,reviewed,DTX3L_HUMAN,E3 ubiquitin-protein ligase DTX3L (EC 2.3.2.27) (B-lymphoma- and BAL-associated protein) (Protein deltex-3-like) (RING-type E3 ubiquitin transferase DTX3L) (Rhysin-2) (Rhysin2),DTX3L BBAP,Homo sapiens (Human),740,DTX3L
Q13443,Q13443,reviewed,ADAM9_HUMAN,Disintegrin and metalloproteinase domain-containing protein 9 (ADAM 9) (EC 3.4.24.-) (Cellular disintegrin-related protein) (Meltrin-gamma) (Metalloprotease/disintegrin/cysteine-rich protein 9) (Myeloma cell metalloproteinase),ADAM9 KIAA0021 MCMP MDC9 MLTNG,Homo sapiens (Human),819,ADAM9
Q9UP79,Q9UP79,reviewed,ATS8_HUMAN,A disintegrin and metalloproteinase with thrombospondin motifs 8 (ADAM-TS 8) (ADAM-TS8) (ADAMTS-8) (EC 3.4.24.-) (METH-2) (METH-8),ADAMTS8 METH2,Homo sapiens (Human),889,ADAMTS8
Q9BWS9,Q9BWS9,reviewed,CHID1_HUMAN,Chitinase domain-containing protein 1 (Stabilin-1-interacting chitinase-like protein) (SI-CLP),CHID1 GL008 PSEC0104 SB139,Homo sapiens (Human),393,CHID1
P01721,P01721,reviewed,LV657_HUMAN,Immunoglobulin lambda variable 6-57 (Ig lambda chain V-VI region AR) (Ig lambda chain V-VI region EB4) (Ig lambda chain V-VI region NIG-48) (Ig lambda chain V-VI region SUT) (Ig lambda chain V-VI region WLT),IGLV6-57,Homo sapiens (Human),117,IGLV6-57
Q99501,Q99501,reviewed,GA2L1_HUMAN,GAS2-like protein 1 (GAS2-related protein on chromosome 22) (Growth arrest-specific protein 2-like 1),GAS2L1 GAR22,Homo sapiens (Human),681,GAS2L1
P60866,P60866,reviewed,RS20_HUMAN,Small ribosomal subunit protein uS10 (40S ribosomal protein S20),RPS20,Homo sapiens (Human),119,RPS20
